Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-1671037.1	1138917.9	-422.70346	-3576244.5	215.2	-0.0016745634	0.10434009	0.81957173	-0.8455125	4000	3.7252903e-09	63302970000.0	-0.0105322935	-511286.62	0.0018958858	0.0	2.1568198204040527
1	-1549909.5	1143814.9	631.28485	-3989055.5	139.22223	-4.6716633	2.4156382	12.091083	-12.831605	8000	-1.4901161e-08	160825210000.0	-0.01988773	-2459011.0	0.004454299	0.0	3.281381130218506
2	-1699136.4	979831.7	-6231.4824	-5695694.5	60.53125	-16.194805	8.914758	22.381315	-22.844793	12000	-1.937151e-07	577965200000.0	-0.0028961003	-12493888.0	0.00608553	2.0	4.4837799072265625
3	-1649938.1	306771.22	-1099208.2	-2265076.0	29.363636	-34.081093	0.90695804	-17.060831	-34.30282	16000	9.685755e-08	138109270000.0	-0.012931559	-1164288.0	0.0032376335	0.0	5.599110126495361
4	-1490092.8	529731.5	-4149.9224	-2779696.5	85.4	-38.767258	0.14883032	-36.92147	-38.824085	20000	9.313226e-09	110307600000.0	-0.0051433872	-600079.7	0.0025447663	0.0	6.631540775299072
5	-1792688.5	642601.0	-1350812.0	-3533902.2	23.88889	-42.21293	0.67611414	-23.553709	-42.287193	24000	-8.1490725e-10	108590375000.0	-0.01136227	-476672.0	0.0024803458	0.0	7.785138845443726
6	-1175954.2	692088.1	726.5922	-1746112.1	271.25	-45.401787	0.119561724	-40.5278	-45.424294	28000	1.4901161e-08	32296907000.0	-0.016009288	-77735.66	0.00236078	0.0	8.991966962814331
7	-1071071.9	782891.5	449.26022	-2320498.2	303.85715	-46.82428	0.24715057	-40.94906	-46.86133	32000	7.450581e-09	35552710000.0	-0.011333235	-107361.67	0.004456815	0.0	10.13279676437378
8	-1734639.5	279572.1	-1447682.6	-2237623.0	37.75	-48.319874	0.29263306	-35.439373	-48.35555	36000	5.2154064e-08	109130370000.0	-0.01957243	-775168.0	0.002724892	0.0	11.346433877944946
9	-1873813.0	805960.7	-537545.0	-3888082.8	30.842106	-52.68107	0.21856223	-49.220432	-52.72915	40000	-6.3329935e-08	263156730000.0	-0.0036685504	-2768896.0	0.009582493	0.0	12.653884887695312
