Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	48.515957	228.30196	922.1328	-145.87752	64.6875	-0.01569989	0.08642489	0.46809474	-0.56436616	1100	0.019831717	7001.131	-0.0023653563	-1473.8604	0.9308574	0.0006222687	1.5751137733459473
1	29.039053	178.7102	910.0824	-155.067	40.0	9.790939	1.8393263	14.792478	-12.464191	2200	-0.022220526	5760.0435	-0.00091003254	-1627.375	0.92681897	-9.8150645e-05	2.3780770301818848
2	67.83436	268.20856	864.85645	-94.48098	105.1	21.513819	4.55387	22.87816	-17.277338	3300	-0.011416051	3968.962	-0.00086914655	-790.53906	0.9266305	9.3482246e-05	3.0538971424102783
3	231.11871	400.3094	924.47485	0.0	250.75	27.325296	8.966708	29.225826	-28.75291	4400	0.013495475	3385.0134	-0.0017393082	-612.7671	0.94785076	0.00025654273	3.7696709632873535
4	126.19384	309.1105	883.3569	0.0	143.71428	34.58021	0.5030944	34.85061	21.510357	5500	0.0035226666	2795.9102	-0.000579352	-492.44507	0.92222774	0.00024223258	4.624996900558472
5	75.520004	266.94818	869.7801	-114.58006	103.2	38.53338	9.307633	40.013668	-38.95516	6600	-0.015496646	2491.8567	-0.00081521925	-386.79395	0.91120386	-0.00017398778	5.43719482421875
6	65.397224	260.23917	919.6808	-134.91412	85.583336	43.143665	8.052141	44.516186	-43.49768	7700	-0.017675577	2031.1425	-0.0002680719	-384.34705	0.87644774	0.00027501376	6.194687128067017
7	453.26218	453.26218	906.52435	0.0	500.5	48.952484	0.17281446	49.055202	47.488182	8800	-0.02245701	1629.9899	0.00012169033	-307.95923	0.9494414	4.9618156e-05	6.935488939285278
8	35.122158	201.44691	853.0614	-127.10183	58.22222	52.24881	7.5988803	53.31742	-28.447802	9900	0.023746075	1570.4907	-7.542409e-05	-231.85754	0.9151015	7.8855344e-05	7.754256010055542
9	152.97083	305.94165	764.8541	0.0	200.8	56.67829	1.7806294	56.97424	39.314175	11000	-0.057184044	1117.7025	-1.7464161e-05	-229.198	0.90722096	5.2510068e-06	8.585824966430664
10	54.51618	255.18422	833.3154	-233.63747	93.454544	60.261547	4.7747593	60.537773	-58.953827	12100	-0.0409701	1403.0657	-0.0005929619	-133.25146	0.89952356	-0.00013748213	9.724830150604248
11	45.86737	234.3581	934.01575	-200.13785	64.4375	61.50358	14.305395	63.529022	-62.19267	13200	-0.013376488	937.23004	3.6703423e-06	-151.86627	0.9057545	9.85446e-05	10.504225015640259
12	80.63557	254.99207	886.9912	0.0	91.818184	65.46104	8.898441	66.67453	-65.23679	14300	-0.033358786	705.8686	-0.00038515776	-150.81104	0.93903553	0.00013179235	11.205257892608643
13	114.3668	280.14026	800.56757	0.0	143.71428	68.94816	6.582687	69.56542	-68.06543	15400	0.011594876	553.7234	0.00011453312	-103.170135	0.90672183	2.4200162e-05	11.900588989257812
14	176.73672	353.47345	883.6836	0.0	200.8	71.807884	4.6295238	72.22559	-70.643394	16500	-0.02185103	542.421	-0.0002161283	-75.9599	0.920362	0.00014127558	12.569921970367432
15	67.59862	234.16846	878.782	0.0	77.84615	72.55978	14.691985	74.63193	-72.98272	17600	-0.0024048313	395.99295	-0.00026222062	-75.349304	0.8786476	2.0666284e-06	13.259618043899536
16	45.031754	219.50574	941.6057	-131.0342	57.333332	76.47741	7.9308615	76.96287	-75.24835	18700	-0.02914011	610.4057	-0.0004923176	-40.121338	0.93596447	0.00013313974	14.039313077926636
17	57.75959	268.7983	782.0213	-262.18503	113.55556	78.50463	6.6241264	78.85794	-77.088234	19800	0.0058462503	916.32184	-0.0001873225	-20.71344	0.90604687	3.2669686e-05	14.899688005447388
18	85.90708	271.66202	944.9779	0.0	91.818184	79.544975	9.956313	80.25383	-78.33418	20900	0.01257084	274.3962	-0.00014226511	-42.593674	0.91822624	6.745501e-05	15.731162071228027
19	131.57338	336.5998	880.5482	-91.1079	170.33333	81.153366	7.2089934	82.00031	-80.14268	22000	0.021700494	446.64047	0.00011193566	-64.25122	0.9387726	5.8143003e-05	16.57395911216736
20	39.560894	202.34853	861.8343	-149.73824	57.5	80.105316	18.054562	83.4278	-81.52886	23100	-0.0022371814	267.8072	-0.00019835541	-95.285095	0.94488704	5.9522255e-05	17.596086978912354
21	37.970467	179.83649	881.4426	-8.121886	44.47826	83.307175	15.527223	84.89376	-82.953	24200	-0.005933979	259.8251	-8.130167e-05	-17.21257	0.9037255	-6.337968e-05	18.325838088989258
22	314.61563	444.93365	943.84686	0.0	334.0	85.790565	0.4029903	85.935135	83.29875	25300	-0.015091797	281.80536	-0.00035843253	-30.274643	0.91329193	-8.5069834e-05	19.059764862060547
23	82.76366	308.6091	947.67944	-109.858765	115.666664	83.66179	21.309566	86.89732	-84.88153	26400	-0.02523386	413.84262	-3.4738332e-05	-27.940277	0.8991937	-3.2163858e-05	19.818392992019653
